cell_id,estrategia,banco,percentil,latencia_ms
e1-opensearch,E1,opensearch,p50,5216.0
e1-opensearch,E1,opensearch,p95,8640.0
e1-opensearch,E1,opensearch,p99,9400.0
e1-opensearch,E1,opensearch,p999,11401.878000000026
e1-postgres,E1,postgres,p50,2649.0
e1-postgres,E1,postgres,p95,3728.0
e1-postgres,E1,postgres,p99,7008.0
e1-postgres,E1,postgres,p999,7137.0
e1-scylla,E1,scylla,p50,3851.0
e1-scylla,E1,scylla,p95,6512.0
e1-scylla,E1,scylla,p99,7044.0
e1-scylla,E1,scylla,p999,7904.443000000087
e1-valkey,E1,valkey,p50,4610.0
e1-valkey,E1,valkey,p95,6918.0
e1-valkey,E1,valkey,p99,7511.0
e1-valkey,E1,valkey,p999,8928.0
e2-opensearch,E2,opensearch,p50,2252.0
e2-opensearch,E2,opensearch,p95,3096.0
e2-opensearch,E2,opensearch,p99,3395.0
e2-opensearch,E2,opensearch,p999,3750.0
e2-postgres,E2,postgres,p50,8.0
e2-postgres,E2,postgres,p95,58.0
e2-postgres,E2,postgres,p99,93.0
e2-postgres,E2,postgres,p999,120.0
e2-scylla,E2,scylla,p50,7.0
e2-scylla,E2,scylla,p95,68.0
e2-scylla,E2,scylla,p99,95.0
e2-scylla,E2,scylla,p999,117.0
e2-valkey,E2,valkey,p50,13.0
e2-valkey,E2,valkey,p95,79.0
e2-valkey,E2,valkey,p99,108.0
e2-valkey,E2,valkey,p999,139.0
e3-postgres,E3,postgres,p50,2.0
e3-postgres,E3,postgres,p95,4.0
e3-postgres,E3,postgres,p99,4.0
e3-postgres,E3,postgres,p999,6.0
e3-scylla,E3,scylla,p50,3.0
e3-scylla,E3,scylla,p95,12.0
e3-scylla,E3,scylla,p99,102.0
e3-scylla,E3,scylla,p999,126.0
e3-valkey,E3,valkey,p50,2.0
e3-valkey,E3,valkey,p95,4.0
e3-valkey,E3,valkey,p99,5.0
e3-valkey,E3,valkey,p999,10.0
e4-opensearch,E4,opensearch,p50,2394.0
e4-opensearch,E4,opensearch,p95,3344.0
e4-opensearch,E4,opensearch,p99,3717.0
e4-opensearch,E4,opensearch,p999,4154.0
e4-postgres,E4,postgres,p50,2393.0
e4-postgres,E4,postgres,p95,2871.0
e4-postgres,E4,postgres,p99,2969.0
e4-postgres,E4,postgres,p999,3077.0
e4-valkey,E4,valkey,p50,14.0
e4-valkey,E4,valkey,p95,91.0
e4-valkey,E4,valkey,p99,124.0
e4-valkey,E4,valkey,p999,159.0
