cell_id,estrategia,banco,vazao_sondada_rps,p99_ms,violou_slo,cpu_gerador_pct,taxa_erro
e1-opensearch,E1,opensearch,250,104.0,False,2.7534782970923937,0.0
e1-opensearch,E1,opensearch,375,961.0,True,3.767858617557189,0.0
e1-opensearch,E1,opensearch,500,3305.0,True,3.9111520959044164,0.0
e1-opensearch,E1,opensearch,1000,7001.0,True,4.592134438090793,0.0
e1-postgres,E1,postgres,500,70.0,False,4.727432959838852,0.0
e1-postgres,E1,postgres,750,108.0,False,7.01134033560698,0.0
e1-postgres,E1,postgres,875,2717.0,True,8.108600583090379,0.0
e1-postgres,E1,postgres,1000,3073.0,True,8.652425633859053,0.0
e1-scylla,E1,scylla,250,94.0,False,3.174337634093808,0.0
e1-scylla,E1,scylla,375,120.0,False,4.5732790138932415,0.0
e1-scylla,E1,scylla,500,216.0,True,5.480344755097751,0.0
e1-scylla,E1,scylla,1000,5972.0,True,5.9912440277472365,0.0
e1-valkey,E1,valkey,250,82.0,False,2.797246689122748,0.0
e1-valkey,E1,valkey,375,134.0,False,4.339382295821413,0.0
e1-valkey,E1,valkey,500,2621.0,True,5.03474338656589,0.0
e1-valkey,E1,valkey,1000,6436.0,True,5.0293887147335425,0.0
e2-opensearch,E2,opensearch,500,61.0,False,4.7710883783330535,0.0
e2-opensearch,E2,opensearch,625,72.0,False,6.180738510433655,0.0
e2-opensearch,E2,opensearch,750,224.0,True,7.313874083944038,0.0
e2-opensearch,E2,opensearch,1000,3179.0,True,7.234973124322998,0.0
e2-postgres,E2,postgres,1000,93.0,False,11.274799063994303,0.0
e2-postgres,E2,postgres,1125,129.0,False,10.560767146133,0.0
e2-postgres,E2,postgres,1250,213.0,True,11.79647586278803,0.0
e2-postgres,E2,postgres,1500,4822.0,True,11.68857148572686,0.0
e2-postgres,E2,postgres,2000,6240.0,True,11.670918367346939,0.0
e2-scylla,E2,scylla,1000,96.0,False,11.42749308060052,0.0
e2-scylla,E2,scylla,1125,158.0,False,13.248657795232823,0.0
e2-scylla,E2,scylla,1250,222.0,True,14.331662489557226,0.0
e2-scylla,E2,scylla,1500,2934.0,True,14.965286187131671,0.0
e2-scylla,E2,scylla,2000,4339.0,True,15.622163463435811,0.0
e2-valkey,E2,valkey,1000,106.0,False,13.245505080328236,0.0
e2-valkey,E2,valkey,1125,153.0,False,12.207487482454486,0.0
e2-valkey,E2,valkey,1250,627.0,True,13.203802360806435,0.0
e2-valkey,E2,valkey,1500,3322.0,True,13.104720212399425,0.0
e2-valkey,E2,valkey,2000,4475.0,True,13.390227778111665,0.0
e3-postgres,E3,postgres,1000,4.0,False,13.042051954975088,0.0
e3-postgres,E3,postgres,1500,99.0,False,17.26960599589666,0.0
e3-postgres,E3,postgres,1750,181.0,False,19.744100681699003,0.0
e3-postgres,E3,postgres,1875,2739.0,True,18.971264955516926,0.0
e3-postgres,E3,postgres,2000,3674.0,True,16.957376500606518,0.0
e3-scylla,E3,scylla,1000,108.0,False,9.742584384589158,0.0
e3-scylla,E3,scylla,1500,195.0,False,16.81519601690306,0.0
e3-scylla,E3,scylla,1625,245.0,True,18.359530337596016,0.0
e3-scylla,E3,scylla,1750,380.0,True,19.571590100087942,0.0
e3-scylla,E3,scylla,2000,2981.0,True,20.81879970500887,0.0
e3-valkey,E3,valkey,1000,5.0,False,10.351365015166834,0.0
e3-valkey,E3,valkey,1500,181.0,False,16.989947023735034,0.0
e3-valkey,E3,valkey,1625,193.0,False,18.154780605298985,0.0
e3-valkey,E3,valkey,1750,1363.0,True,19.4873270705285,0.0
e3-valkey,E3,valkey,2000,2973.0,True,20.57211203030001,0.0
e4-opensearch,E4,opensearch,500,74.0,False,5.690613529103303,0.0
e4-opensearch,E4,opensearch,625,77.0,False,7.42054631581144,0.0
e4-opensearch,E4,opensearch,750,513.0,True,8.903527852008368,0.0
e4-opensearch,E4,opensearch,1000,3509.0,True,10.431452744697062,0.0
e4-postgres,E4,postgres,500,61.0,False,4.8980954169013495,0.0
e4-postgres,E4,postgres,750,112.0,False,6.680523188679642,0.0
e4-postgres,E4,postgres,875,2396.0,True,8.16153457849571,0.0
e4-postgres,E4,postgres,1000,2739.0,True,7.929666257125017,0.0
e4-valkey,E4,valkey,1000,115.0,False,10.05769067616866,0.0
e4-valkey,E4,valkey,1125,223.0,True,12.812415033568277,0.0
e4-valkey,E4,valkey,1250,2861.0,True,13.022680746701258,0.0
e4-valkey,E4,valkey,1500,3613.0,True,12.736723345958579,0.0
e4-valkey,E4,valkey,2000,5497.0,True,13.37568308706031,0.0
